"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률 (AAPOR)","URL"
"1",12451,"한국리서치","KBS",2024-02-15,2024-02-17,5.1744,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14057&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12418,"한국사회여론연구소(KSOI)","CBS",2024-02-15,2024-02-16,3.6564,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14021&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12382,"메타보이스","JTBC",2024-02-11,2024-02-12,6.6187,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=13973&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
