"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",12420,"입소스","한국경제신문",2024-02-14,2024-02-15,"3.91%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14018&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12418,"한국사회여론연구소(KSOI)","CBS",2024-02-15,2024-02-16,"3.66%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14021&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12382,"메타보이스","JTBC",2024-02-11,2024-02-12,"6.62%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=13973&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
