"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",12738,"메타보이스","JTBC",2024-03-07,2024-03-09,"3.39%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14383&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12717,"한국리서치","KBS",2024-03-07,2024-03-09,"5.2%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14357&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12695,"엠브레인","전국지표조사(NBS)",2024-03-04,2024-03-06,"5.92%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14335&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12693,"한국리서치","코리아타임스",2024-03-04,2024-03-05,"3.43%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14330&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",12687,"메트릭스","연합뉴스",2024-03-02,2024-03-03,"4.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14325&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",12682,"엠브레인","YTN",2024-03-03,2024-03-04,"4.07%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14321&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
