"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12631,"한국리서치","KBS",2024-02-25,2024-02-27,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14297"
"2",12540,"메타보이스","JTBC",2024-02-24,2024-02-25,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14276"
