"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",12831,"에브리리서치","뉴스피릿",2024-03-15,2024-03-16,"3.37%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14487&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12810,"알앤써치","아시아투데이",2024-03-15,2024-03-16,"0.81%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14458&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12738,"메타보이스","JTBC",2024-03-07,2024-03-09,"3.39%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14383&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12717,"한국리서치","KBS",2024-03-07,2024-03-09,"5.2%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14357&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",12695,"엠브레인","전국지표조사(NBS)",2024-03-04,2024-03-06,"5.92%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14335&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
