"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",12921,"한국리서치","전국지표조사(NBS)",2024-03-18,2024-03-20,"5.7%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14577&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12913,"한국리서치","KBS",2024-03-17,2024-03-19,"5.11%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14570&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12886,"여론조사공정","데일리안",2024-03-18,2024-03-19,"0.94%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14542&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12869,"조원씨앤아이","스트레이트뉴스",2024-03-16,2024-03-18,"0.76%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14527&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",12853,"한길리서치","쿠키뉴스",2024-03-16,2024-03-18,"0.97%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14510&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",12841,"미디어토마토","뉴스토마토",2024-03-16,2024-03-17,"3.5%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14495&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",12810,"알앤써치","아시아투데이",2024-03-15,2024-03-16,"0.81%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14458&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",12782,"알앤써치","알앤써치",2024-03-13,2024-03-14,"0.86%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14428&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",12775,"여론조사공정","파이낸스투데이",2024-03-12,2024-03-12,"1.32%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14418&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",12754,"조원씨앤아이","스트레이트뉴스",2024-03-09,2024-03-11,"0.75%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14397&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",12744,"미디어토마토","뉴스토마토",2024-03-09,2024-03-10,"3.46%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14388&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",12738,"메타보이스","JTBC",2024-03-07,2024-03-09,"3.39%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14383&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",12718,"코리아리서치인터내셔널","MBC",2024-03-09,2024-03-10,"4.05%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14358&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"14",12717,"한국리서치","KBS",2024-03-07,2024-03-09,"5.2%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14357&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"15",12704,"알앤써치","아시아투데이",2024-03-08,2024-03-09,"0.88%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14346&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
