"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",12458,"리얼미터","뉴스피릿",2024-02-16,2024-02-18,"1.66%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14047&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12451,"한국리서치","KBS",2024-02-15,2024-02-17,"5.17%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14057&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12441,"미디어토마토","뉴스토마토",2024-02-17,2024-02-18,"3.44%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14044&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12429,"에브리리서치","뉴스피릿",2024-02-16,2024-02-17,"3.36%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14030&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",12420,"입소스","한국경제신문",2024-02-14,2024-02-15,"3.91%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14018&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",12418,"한국사회여론연구소(KSOI)","CBS",2024-02-15,2024-02-16,"3.66%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14021&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",12382,"메타보이스","JTBC",2024-02-11,2024-02-12,"6.62%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=13973&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
