"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12420,"입소스","한국경제신문",2024-02-14,2024-02-15,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14018"
"2",12382,"메타보이스","JTBC",2024-02-11,2024-02-12,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=13973"
