"","등록번호","조사기관","조사의뢰자","시작일","종료일","URL"
"1",12451,"한국리서치","KBS",2024-02-15,2024-02-17,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14057"
"2",12441,"미디어토마토","뉴스토마토",2024-02-17,2024-02-18,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14044"
"3",12418,"한국사회여론연구소(KSOI)","CBS",2024-02-15,2024-02-16,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=14021"
"4",12382,"메타보이스","JTBC",2024-02-11,2024-02-12,"https://nesdc.go.kr/portal/bbs/B0000005/view.do?menuNo=200467&nttId=13973"
