"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",12921,"한국리서치","전국지표조사(NBS)",2024-03-18,2024-03-20,"5.7%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14577&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",12913,"한국리서치","KBS",2024-03-17,2024-03-19,"5.11%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14570&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",12831,"에브리리서치","뉴스피릿",2024-03-15,2024-03-16,"3.37%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14487&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",12810,"알앤써치","아시아투데이",2024-03-15,2024-03-16,"0.81%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14458&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
